,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,acadia19_664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Koshelyuk, Daniil; Talaei, Ardeshir; Garivani, Soroush; Markopoulou, Areti; Chronis, Angelo; Leon, David Andres; Krenmuller, Raimund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ACADIA 19:UBIQUITY AND AUTONOMY [Proceedings of the 39th Annual Conference of the Association for Computer Aided Design in Architecture (ACADIA) ISBN 978-0-578-59179-7] (The University of Texas at Austin School of Architecture, Austin, Texas 21-26 October, 2019) pp. 664-673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"In the context of data-driven culture, built space still maintains low responsiveness and adaptability. Part of this reality lies in the low resolution of live information we have about the behavior and condition of surfaces and materials. This research addresses this issue by exploring the development of a deformation-sensing composite membrane material system following a bottom-up approach and combining various technologies toward solving related technical issuesexploring conductivity properties of graphene and maximizing utilization within an architecture-related proof-of-concept scenario and a workflow including design, fabrication, and application methodology. Introduced simulation of intended deformation helps optimize the pattern of graphene nanoplatelets (GNP) to maximize membrane sensitivity to a specific deformation type while minimizing material usage. Research explores various substrate materials and graphene incorporation methods with initial geometric exploration. Finally, research introduces data collection and machine learning techniques to train recognition of certain types of deformation (single point touch) on resistance changes. The final prototype demonstrates stable and symmetric readings of resistance in a static state and, after training, exhibits an 88% prediction accuracy of membrane shape on a labeled sample data-set through a pre-trained neural network. The proposed framework consisting of a simulation based, graphene-capturing fabrication method on stretchable surfaces, and includes initial exploration in neural network training shape detection, which combined, demonstrate an advanced approach to embedding intelligence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACADIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,normal paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,daniil.koshelyuk@iaac.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (3,438,118 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
